San Diego Crew Classic 2006 Official Results,,,,,,,,,,,,,,,,,,
"Saturday April 1, 2006",,,,,,,,,,,,,,,,,,
Event,Trophy,Title,Heat,Start,1st Place,,2nd Place,,3rd Place,,4th Place,,5th Place,,6th Place,,7th Place,
72, Derek Guelker Memorial Cup,Mens Collegiate Novice,GFinal,10:00:00 AM,Cal (A), 6:08:70,Stanford, 6:14:78,Orange Coast, 6:15:47,Oregon St., 6:18:06,Texas, 6:21:80,USD, 6:25:53,,
73, Thalia Kelly Considine Cup,Womens Club*,Final,10:15:00 AM,LBRA, 7:03:70,Lake Union, 7:07:05,Watercat RC, 7:08:98,Lake Washington, 7:09:74,Marin, 7:22:32,Lake Merritt, 7:3:67,,
74, City of San Diego Cup,Mens Club*,Final,10:30:00 AM,Marin (A), 6:30:70,LBRA, 6:30:72,Union BC, 6:52:19,SDRC, 6:52:58,Williamette, 6:54:64,,,,
75, Jackie Ann Stitt Hungness Trophy,Womens JV,GFinal,10:40:00 AM,Cal, 6:54:80,Washington St., 6:55:42,Stanford, 6:59:31,USC, 7:00:99,Wisconsin, 7:01:23,UCLA, 7:04:89,,
76, Sharp Cabrillo Cup,Mens JV,GFinal,10:50:00 AM,Cal (A), 6:10:30,Cal (B), 6:13:27,UC Davis (A), 6:35:53,UCSD, 6:38:29,Purdue, 6:38:67,UC Irvine, 6:51:36,,
77, Sam Adams/Mesa Distributing Cup,Womens Cal Cup,GFinal,11:00:00 AM,Miami, 7:05:30,Kansas St., 7:08:58,St. Joseph's, 7:10:87,Sac State, 7:12:12,Navy, 7:14:68,UC Davis, 7:17:61,,
78, American Specialty Health Cup,Mens Cal Cup,GFinal,11:10:00 AM,OCC, 6:25:30,Colorado, 6:25:93,USC, 6:29:19,UCSD, 6:29:37,Lehigh, 6:30:40,Loyola, 6:35:88,,
79, Copley Cup,Copley Cup,GFinal,11:20:00 AM,Stanford, 6:01:40,Cal (A), 6:03:79,Cal (B), 6:12:63,Purdue, 6:21:01,Temple, 6:22:40,UC Davis, 6:29:23,,
80, Jessop-Whittier Cup,Jessop-Whittier Cup,GFinal,11:35:00 AM,Cal, 6:52:10,USC, 6:54:29,Washington St., 6:57:83,Notre Dame, 6:58:66,UCLA, 7:01:97,Wisconsin, 7:05:81,,
81, Carley Copley Cup,Womens Open,GFinal,12:10:00 PM,Cal, 7:18:60,Notre Dame, 7:32:11,Riverside BC, 7:33:87,SDSU, 7:47:83,River City, 7:57:00,Arizona Rowing, 8:10:36,,
82, Joan Ward Memorial Trophy,Mens Open,GFinal,12:20:00 PM,Stanford, 6:21:50,Trident RC, 6:26:85,UCLA, 6:27:22,Everett, 6:37:70,Marin, 6:43:97,True Aggies, 7:04:63,,
83, Gilman-Mulliken Cup,Womens Junior,GFinal,12:30:00 PM,Oakland Strokes, 7:15:16,Marin, 7:16:38,Vic City, 7:21:37,Long Beach, 7:22:45,Community, 7:37:63,St. Ignatius, 7:37:76,,
84, William Robinson Memorial Trophy,Mens Junior,GFinal,12:40:00 PM,St. Ignatius, 6:30:60,Oakland Strokes, 6:32:24,Marin, 6:35:00,Los Gatos, 6:41:28,Rose City RC, 6:45:80,Capital Crew, 6:49:30,,
85, Hudson Cup,Womens Masters A,Final,12:50:00 PM,USC Alum, 7:32:70,Lake Washington, 7:35:26,LBRA, 7:43:96,,,,,,,,
86, Mission Bay Park Trophy,Mens Masters A,Final,01:00:00 PM,Kent Mitchell, 6:46:60,Lake Union, 6:48:45,Wide Load BC, 6:54:86,Lake Washington, 7:03:69,Wisconsin Alum, 7:04:61,Bair Island, 7:20:84,,
87, Fred Rickon Memorial Cup,Womens Masters B,Final,01:10:00 PM,Lake Union, 7:39:40,Marin, 7:40:72,Lions RC, 7:52:87,Lake Merritt, 8:04:99,LARC, 8:09:22,Avalon RC, 8:55:23,,
88, President's Trophy,Mens Masters B,Final,01:20:00 PM,Marin, 6:41:20,Milwaukee, 6:43:46,Kent Mitchell, 6:44:51,USD Alum, 6:53:27,Union BC, 6:56:61,SDRC, 6:57:04,,
89, Margi Fetter Graham Trophy,Womens Masters C,Final,01:30:00 PM,LBRA, 7:21:83,Marin, 7:49:01,ZLAC, 7:50:93,Rio Salado, 8:20:44,Newport AC, 9:02:70,,,,
90, Volunteer Trophy,Mens Masters C,Final,01:40:00 PM,Rocky Mountain, 6:57:00,SDRC, 7:05:29,Carnegie Lake, 7:11:82,,,,,,,,
91, Lang & Associates Trophy,Womens Masters D,Final,01:50:00 PM,NBRC, 8:53:57,Lake Union, 8:53:70,Masters Coach, 9:23:10,Carnegie Lake, 9:23:29,Community, 9:29:17,Lions RC, 9:38:99,,
92, Founders Trophy,Mens Masters D,Final,02:00:00 PM,Kent Mitchel, 7:00:90,Pocock, 7:06:83,Williamette, 7:27:30,Lake Merritt, 8:07:61,,,,,,
